Season,Year_City,year,name,value
Winter,1994 Lillehammer,1994-01-01,RUS,23
Winter,2006 Torino,2006-01-01,RUS,22
Winter,2010 Vancouver,2010-01-01,RUS,15
Winter,2006 Torino,2006-01-01,CRO,3
Summer,2016 Rio de Janeiro,2016-01-01,GUY,0
Summer,1988 Seoul,1988-01-01,GUY,0
Summer,1956 Melbourne,1956-01-01,NZL,2
Summer,1960 Roma,1960-01-01,NZL,3
Summer,2016 Rio de Janeiro,2016-01-01,GEO,7
Summer,1988 Seoul,1988-01-01,POR,1
Summer,1992 Barcelona,1992-01-01,POR,0
Summer,1996 Atlanta,1996-01-01,POR,2
Summer,2008 Beijing,2008-01-01,POR,2
Summer,2012 London,2012-01-01,POR,1
Summer,1996 Atlanta,1996-01-01,FRA,37
Winter,1994 Lillehammer,1994-01-01,BUL,0
Summer,2012 London,2012-01-01,SUI,4
Winter,1994 Lillehammer,1994-01-01,GER,24
Winter,1992 Albertville,1992-01-01,POL,0
Winter,1998 Nagano,1998-01-01,POL,0
Winter,2002 Salt Lake City,2002-01-01,POL,2
Summer,2016 Rio de Janeiro,2016-01-01,POR,1
Summer,1976 Montreal,1976-01-01,CUB,13
Summer,2004 Athina,2004-01-01,BRA,10
Summer,1968 Mexico City,1968-01-01,POR,0
Summer,1976 Montreal,1976-01-01,PAR,0
Summer,2008 Beijing,2008-01-01,ANG,0
Summer,1984 Los Angeles,1984-01-01,BRA,8
Summer,1980 Moskva,1980-01-01,CUB,20
Summer,1996 Atlanta,1996-01-01,VEN,0
Summer,1976 Montreal,1976-01-01,POR,2
Summer,1980 Moskva,1980-01-01,POR,0
Summer,1988 Seoul,1988-01-01,FRA,16
Summer,2012 London,2012-01-01,COL,8
Summer,2016 Rio de Janeiro,2016-01-01,COL,8
Summer,2016 Rio de Janeiro,2016-01-01,DJI,0
Summer,2000 Sydney,2000-01-01,RUS,89
Summer,1952 Helsinki,1952-01-01,ROU,4
Summer,2012 London,2012-01-01,ETH,7
Summer,1988 Seoul,1988-01-01,USA,94
Winter,2002 Salt Lake City,2002-01-01,GER,36
Summer,1988 Seoul,1988-01-01,FRG,40
Winter,2002 Salt Lake City,2002-01-01,RUS,13
Summer,2008 Beijing,2008-01-01,IRI,2
Summer,2008 Beijing,2008-01-01,BAN,0
Summer,2012 London,2012-01-01,JOR,0
Summer,2016 Rio de Janeiro,2016-01-01,JOR,1
Summer,1996 Atlanta,1996-01-01,PLE,0
Summer,2012 London,2012-01-01,PLE,0
Summer,2000 Sydney,2000-01-01,JOR,0
Summer,2004 Athina,2004-01-01,JOR,0
Summer,1996 Atlanta,1996-01-01,KAZ,11
Summer,2004 Athina,2004-01-01,SUD,0
Summer,2004 Athina,2004-01-01,PLE,0
Summer,2000 Sydney,2000-01-01,CHN,58
Summer,1988 Seoul,1988-01-01,KEN,9
Summer,2008 Beijing,2008-01-01,NGR,4
Summer,1968 Mexico City,1968-01-01,PER,0
Summer,1964 Tokyo,1964-01-01,PER,0
Summer,2004 Athina,2004-01-01,LBA,0
Summer,2004 Athina,2004-01-01,SOM,0
Summer,1964 Tokyo,1964-01-01,JPN,29
Summer,2016 Rio de Janeiro,2016-01-01,PLE,0
Summer,2016 Rio de Janeiro,2016-01-01,KSA,0
Summer,1996 Atlanta,1996-01-01,MEX,1
Summer,1984 Los Angeles,1984-01-01,KUW,0
Summer,2004 Athina,2004-01-01,MEX,4
Summer,1976 Montreal,1976-01-01,URS,125
Summer,2012 London,2012-01-01,KAZ,13
Summer,1988 Seoul,1988-01-01,JOR,0
Summer,1968 Mexico City,1968-01-01,TUR,2
Summer,1948 London,1948-01-01,TUR,12
Summer,1952 Helsinki,1952-01-01,TUR,3
Summer,1972 Munich,1972-01-01,FRA,13
Summer,2008 Beijing,2008-01-01,ROU,8
Summer,1948 London,1948-01-01,ITA,31
Winter,1994 Lillehammer,1994-01-01,SUI,9
Winter,1998 Nagano,1998-01-01,SUI,7
Winter,1988 Calgary,1988-01-01,SUI,15
Winter,1992 Albertville,1992-01-01,SUI,3
Winter,2002 Salt Lake City,2002-01-01,SUI,11
Summer,1908 London,1908-01-01,ITA,4
Summer,1948 London,1948-01-01,CHI,0
Summer,1920 Antwerpen,1920-01-01,ESP,2
Summer,1960 Roma,1960-01-01,CHI,0
Summer,1988 Seoul,1988-01-01,URU,0
Summer,1968 Mexico City,1968-01-01,ESA,0
Summer,1992 Barcelona,1992-01-01,PUR,1
Summer,1992 Barcelona,1992-01-01,COL,1
Summer,1972 Munich,1972-01-01,COL,3
Summer,1972 Munich,1972-01-01,PER,0
Summer,2008 Beijing,2008-01-01,VEN,1
Summer,1984 Los Angeles,1984-01-01,MEX,6
Summer,1968 Mexico City,1968-01-01,GBR,13
Summer,1972 Munich,1972-01-01,GBR,18
Summer,1960 Roma,1960-01-01,PHI,0
Summer,2004 Athina,2004-01-01,IND,1
Summer,2008 Beijing,2008-01-01,IND,3
Summer,2016 Rio de Janeiro,2016-01-01,IND,2
Summer,2012 London,2012-01-01,GBR,65
Winter,1948 Sankt Moritz,1948-01-01,FRA,5
Summer,2000 Sydney,2000-01-01,GER,56
Summer,1964 Tokyo,1964-01-01,GHA,1
Summer,2016 Rio de Janeiro,2016-01-01,GHA,0
Summer,1992 Barcelona,1992-01-01,GHA,1
Summer,1984 Los Angeles,1984-01-01,SUI,8
Winter,2010 Vancouver,2010-01-01,LIB,0
Summer,1984 Los Angeles,1984-01-01,UGA,0
Summer,1988 Seoul,1988-01-01,MAR,3
Summer,1996 Atlanta,1996-01-01,MAR,2
Summer,2000 Sydney,2000-01-01,GBR,28
Summer,2008 Beijing,2008-01-01,GBR,48
Summer,1900 Paris,1900-01-01,FRA,102
