"","Event","Sport","Season","Year_City","Year"
"5557","Equestrianism Men's Dressage, Team","Equestrianism","Summer","1948 London",1948
"5558","Equestrianism Mixed Dressage, Individual","Equestrianism","Summer","1952 Helsinki",1952
"5559","Equestrianism Mixed Dressage, Team","Equestrianism","Summer","1952 Helsinki",1952
"5560","Equestrianism Mixed Dressage, Individual","Equestrianism","Summer","1956 Stockholm",1956
"5561","Equestrianism Mixed Dressage, Team","Equestrianism","Summer","1956 Stockholm",1956
"5562","Rowing Men's Coxless Pairs","Rowing","Summer","1928 Amsterdam",1928
"5563","Figure Skating Women's Singles","Figure Skating","Winter","1992 Albertville",1992
"5564","Wrestling Men's Middleweight, Freestyle","Wrestling","Summer","1924 Paris",1924
"5565","Cycling Women's BMX","Cycling","Summer","2016 Rio de Janeiro",2016
"5566","Cycling Men's 1,000 metres Time Trial","Cycling","Summer","1996 Atlanta",1996
"5567","Shooting Men's Rapid-Fire Pistol, 25 metres","Shooting","Summer","2012 London",2012
"5568","Equestrianism Men's Dressage, Individual","Equestrianism","Summer","1928 Amsterdam",1928
"5569","Equestrianism Men's Dressage, Team","Equestrianism","Summer","1928 Amsterdam",1928
"5570","Canoeing Men's Kayak Doubles, 1,000 metres","Canoeing","Summer","1936 Berlin",1936
"5571","Canoeing Women's Kayak Singles, 500 metres","Canoeing","Summer","1976 Montreal",1976
"5572","Canoeing Women's Kayak Singles, Slalom","Canoeing","Summer","2004 Athina",2004
"5573","Canoeing Women's Kayak Singles, Slalom","Canoeing","Summer","2008 Beijing",2008
"5574","Athletics Men's 800 metres","Athletics","Summer","1904 St. Louis",1904
"5575","Athletics Men's 1,500 metres Walk","Athletics","Summer","1906 Athina",1906
"5576","Athletics Men's 3 mile, Team","Athletics","Summer","1908 London",1908
"5577","Rowing Men's Coxless Pairs","Rowing","Summer","1948 London",1948
"5578","Shooting Men's Rapid-Fire Pistol, 25 metres","Shooting","Summer","1932 Los Angeles",1932
"5579","Wrestling Men's Lightweight, Freestyle","Wrestling","Summer","2012 London",2012
"5580","Swimming Women's 400 metres Individual Medley","Swimming","Summer","1992 Barcelona",1992
"5581","Gymnastics Men's Pommelled Horse","Gymnastics","Summer","1932 Los Angeles",1932
"5582","Canoeing Men's Kayak Singles, 1,000 metres","Canoeing","Summer","1996 Atlanta",1996
"5583","Canoeing Men's Canadian Singles, Slalom","Canoeing","Summer","1996 Atlanta",1996
"5584","Figure Skating Men's Singles","Figure Skating","Winter","1956 Cortina d'Ampezzo",1956
"5585","Boxing Men's Light-Welterweight","Boxing","Summer","2008 Beijing",2008
"5586","Speed Skating Women's 1,000 metres","Speed Skating","Winter","1984 Sarajevo",1984
"5587","Alpine Skiing Women's Downhill","Alpine Skiing","Winter","1988 Calgary",1988
"5588","Tennis Women's Singles","Tennis","Summer","1908 London",1908
"5589","Canoeing Women's Kayak Singles, 500 metres","Canoeing","Summer","1996 Atlanta",1996
"5590","Canoeing Women's Kayak Singles, 500 metres","Canoeing","Summer","2000 Sydney",2000
"5591","Speed Skating Women's 500 metres","Speed Skating","Winter","1980 Lake Placid",1980
"5592","Athletics Men's Decathlon","Athletics","Summer","1984 Los Angeles",1984
"5593","Alpine Skiing Women's Downhill","Alpine Skiing","Winter","1998 Nagano",1998
"5594","Diving Women's Springboard","Diving","Summer","1928 Amsterdam",1928
"5595","Sailing Men's Two Person Keelboat","Sailing","Summer","2008 Beijing",2008
"5596","Swimming Men's 400 metres Freestyle","Swimming","Summer","1906 Athina",1906
"5597","Judo Women's Extra-Lightweight","Judo","Summer","1992 Barcelona",1992
"5598","Swimming Women's 100 metres Butterfly","Swimming","Summer","2000 Sydney",2000
"5599","Swimming Women's 100 metres Butterfly","Swimming","Summer","2004 Athina",2004
"5600","Short Track Speed Skating Women's 1,000 metres","Short Track Speed Skating","Winter","2006 Torino",2006
"5601","Short Track Speed Skating Women's 500 metres","Short Track Speed Skating","Winter","2010 Vancouver",2010
"5602","Short Track Speed Skating Women's 500 metres","Short Track Speed Skating","Winter","2014 Sochi",2014
"5603","Rowing Women's Double Sculls","Rowing","Summer","2000 Sydney",2000
"5604","Rowing Women's Quadruple Sculls","Rowing","Summer","2008 Beijing",2008
"5605","Judo Men's Open Class","Judo","Summer","1964 Tokyo",1964
"5606","Gymnastics Men's Individual All-Around","Gymnastics","Summer","1932 Los Angeles",1932
"5607","Gymnastics Men's Team All-Around","Gymnastics","Summer","1932 Los Angeles",1932
"5608","Gymnastics Men's Floor Exercise","Gymnastics","Summer","1932 Los Angeles",1932
"5609","Gymnastics Men's Horse Vault","Gymnastics","Summer","1932 Los Angeles",1932
"5610","Art Competitions Mixed Painting, Paintings","Art Competitions","Summer","1932 Los Angeles",1932
"5611","Shooting Women's Trap","Shooting","Summer","2000 Sydney",2000
"5612","Athletics Women's Discus Throw","Athletics","Summer","1928 Amsterdam",1928
"5613","Art Competitions Mixed Sculpturing, Medals","Art Competitions","Summer","1936 Berlin",1936
"5614","Shooting Men's Military Rifle, Kneeling Or Standing, 300 metres","Shooting","Summer","1906 Athina",1906
"5615","Athletics Women's Long Jump","Athletics","Summer","1956 Melbourne",1956
"5616","Sailing Mixed 8 metres","Sailing","Summer","1928 Amsterdam",1928
"5617","Cycling Men's Tandem Sprint, 2,000 metres","Cycling","Summer","1924 Paris",1924
"5618","Athletics Men's 110 metres Hurdles","Athletics","Summer","1936 Berlin",1936
"5619","Art Competitions Mixed Music, Compositions For Orchestra","Art Competitions","Summer","1928 Amsterdam",1928
"5620","Rowing Men's Double Sculls","Rowing","Summer","1924 Paris",1924
"5621","Canoeing Men's Canadian Singles, 1,000 metres","Canoeing","Summer","1956 Melbourne",1956
"5622","Shooting Men's Free Pistol, 50 metres, Team","Shooting","Summer","1912 Stockholm",1912
"5623","Tennis Men's Singles, Covered Courts","Tennis","Summer","1908 London",1908
"5624","Canoeing Men's Canadian Doubles, 1,000 metres","Canoeing","Summer","1956 Melbourne",1956
"5625","Canoeing Men's Canadian Doubles, 10,000 metres","Canoeing","Summer","1956 Melbourne",1956
"5626","Rowing Men's Coxless Pairs","Rowing","Summer","1968 Mexico City",1968
"5627","Wrestling Men's Bantamweight, Greco-Roman","Wrestling","Summer","1980 Moskva",1980
"5628","Swimming Women's 200 metres Backstroke","Swimming","Summer","1996 Atlanta",1996
"5629","Canoeing Men's Canadian Doubles, 500 metres","Canoeing","Summer","1984 Los Angeles",1984
"5630","Canoeing Men's Canadian Doubles, 1,000 metres","Canoeing","Summer","1984 Los Angeles",1984
"5631","Badminton Women's Doubles","Badminton","Summer","2004 Athina",2004
"5632","Badminton Women's Doubles","Badminton","Summer","2008 Beijing",2008
"5633","Swimming Women's 200 metres Breaststroke","Swimming","Summer","1936 Berlin",1936
"5634","Speed Skating Men's 500 metres","Speed Skating","Winter","1980 Lake Placid",1980
"5635","Speed Skating Men's 500 metres","Speed Skating","Winter","1984 Sarajevo",1984
"5636","Speed Skating Men's 1,000 metres","Speed Skating","Winter","1984 Sarajevo",1984
"5637","Equestrianism Men's Vaulting, Team","Equestrianism","Summer","1920 Antwerpen",1920
"5638","Cycling Men's Omnium","Cycling","Summer","2016 Rio de Janeiro",2016
"5639","Diving Men's Synchronized Platform","Diving","Summer","2016 Rio de Janeiro",2016
"5640","Wrestling Men's Heavyweight, Greco-Roman","Wrestling","Summer","2008 Beijing",2008
"5641","Canoeing Men's Kayak Singles, Slalom","Canoeing","Summer","2004 Athina",2004
"5642","Canoeing Men's Kayak Singles, Slalom","Canoeing","Summer","2008 Beijing",2008
"5643","Swimming Women's 200 metres Butterfly","Swimming","Summer","2008 Beijing",2008
"5644","Boxing Men's Light-Welterweight","Boxing","Summer","1992 Barcelona",1992
"5645","Wrestling Men's Bantamweight, Freestyle","Wrestling","Summer","1924 Paris",1924
"5646","Trampolining Men's Individual","Trampolining","Summer","2000 Sydney",2000
"5647","Swimming Men's 100 metres Backstroke","Swimming","Summer","1932 Los Angeles",1932
"5648","Rowing Men's Coxless Pairs","Rowing","Summer","2008 Beijing",2008
"5649","Alpine Skiing Women's Downhill","Alpine Skiing","Winter","1992 Albertville",1992
"5650","Alpine Skiing Women's Super G","Alpine Skiing","Winter","1994 Lillehammer",1994
"5651","Boxing Men's Lightweight","Boxing","Summer","1908 London",1908
"5652","Alpine Skiing Women's Downhill","Alpine Skiing","Winter","1994 Lillehammer",1994
"5653","Short Track Speed Skating Women's 500 metres","Short Track Speed Skating","Winter","2002 Salt Lake City",2002
"5654","Short Track Speed Skating Women's 1,000 metres","Short Track Speed Skating","Winter","2002 Salt Lake City",2002
"5655","Short Track Speed Skating Women's 1,500 metres","Short Track Speed Skating","Winter","2002 Salt Lake City",2002
"5656","Boxing Men's Bantamweight","Boxing","Summer","1920 Antwerpen",1920
"5657","Athletics Women's Shot Put","Athletics","Summer","1960 Roma",1960
"5658","Speed Skating Women's 500 metres","Speed Skating","Winter","2006 Torino",2006
"5659","Boxing Men's Light-Heavyweight","Boxing","Summer","1956 Melbourne",1956
"5660","Athletics Men's 5,000 metres","Athletics","Summer","1924 Paris",1924
"5661","Athletics Men's Pole Vault","Athletics","Summer","1972 Munich",1972
"5662","Fencing Women's Foil, Team","Fencing","Summer","2008 Beijing",2008
"5663","Wrestling Men's Featherweight, Greco-Roman","Wrestling","Summer","1952 Helsinki",1952
"5664","Shooting Men's Free Rifle, Three Positions, 300 metres, Team","Shooting","Summer","1906 Athina",1906
"5665","Shooting Men's Free Rifle, Any Position, 300 metres","Shooting","Summer","1906 Athina",1906
"5666","Shooting Men's Military Rifle, 1873-1874 Gras Model, Kneeling Or Standing, 200 metres","Shooting","Summer","1906 Athina",1906
"5667","Weightlifting Men's Bantamweight","Weightlifting","Summer","2016 Rio de Janeiro",2016
"5668","Swimming Men's 100 Yard Backstroke","Swimming","Summer","1904 St. Louis",1904
"5669","Swimming Men's 440 Yard Breaststroke","Swimming","Summer","1904 St. Louis",1904
"5670","Wrestling Men's Super-Heavyweight, Greco-Roman","Wrestling","Summer","1976 Montreal",1976
"5671","Boxing Men's Middleweight","Boxing","Summer","1920 Antwerpen",1920
"5672","Freestyle Skiing Women's Aerials","Freestyle Skiing","Winter","1994 Lillehammer",1994
"5673","Athletics Women's High Jump","Athletics","Summer","1952 Helsinki",1952
"5674","Rowing Women's Single Sculls","Rowing","Summer","1992 Barcelona",1992
"5675","Rowing Men's Coxed Pairs","Rowing","Summer","1900 Paris",1900
"5676","Wrestling Men's Flyweight, Greco-Roman","Wrestling","Summer","1992 Barcelona",1992
"5677","Athletics Women's Shot Put","Athletics","Summer","1956 Melbourne",1956
"5678","Fencing Women's epee, Team","Fencing","Summer","2012 London",2012
"5679","Rowing Women's Single Sculls","Rowing","Summer","1984 Los Angeles",1984
"5680","Athletics Women's High Jump","Athletics","Summer","1932 Los Angeles",1932
"5681","Athletics Women's Discus Throw","Athletics","Summer","1932 Los Angeles",1932
"5682","Athletics Women's Javelin Throw","Athletics","Summer","1932 Los Angeles",1932
"5683","Rowing Men's Coxed Pairs","Rowing","Summer","1932 Los Angeles",1932
"5684","Tug-Of-War Men's Tug-Of-War","Tug-Of-War","Summer","1904 St. Louis",1904
"5685","Diving Men's Springboard","Diving","Summer","1904 St. Louis",1904
"5686","Athletics Men's Marathon","Athletics","Summer","1904 St. Louis",1904
"5687","Swimming Women's 100 metres Freestyle","Swimming","Summer","1928 Amsterdam",1928
"5688","Figure Skating Mixed Ice Dancing","Figure Skating","Winter","1992 Albertville",1992
"5689","Canoeing Men's Kayak Singles, 500 metres","Canoeing","Summer","1984 Los Angeles",1984
"5690","Art Competitions Mixed Literature, Epic Works","Art Competitions","Summer","1948 London",1948
"5691","Shooting Men's Small-Bore Rifle, Prone, 50 metres","Shooting","Summer","2016 Rio de Janeiro",2016
"5692","Wrestling Men's Bantamweight, Greco-Roman","Wrestling","Summer","1932 Los Angeles",1932
"5693","Canoeing Men's Canadian Doubles, 1,000 metres","Canoeing","Summer","2016 Rio de Janeiro",2016
"5694","Rowing Men's Double Sculls","Rowing","Summer","2008 Beijing",2008
"5695","Cycling Men's BMX","Cycling","Summer","2016 Rio de Janeiro",2016
"5696","Canoeing Women's Kayak Singles, 500 metres","Canoeing","Summer","1968 Mexico City",1968
"5697","Boxing Men's Heavyweight","Boxing","Summer","1908 London",1908
"5698","Athletics Men's 10,000 metres","Athletics","Summer","1932 Los Angeles",1932
"5699","Rowing Men's Coxless Pairs","Rowing","Summer","2004 Athina",2004
"5700","Canoeing Women's Kayak Fours, 500 metres","Canoeing","Summer","2012 London",2012
"5701","Snowboarding Women's Halfpipe","Snowboarding","Winter","2014 Sochi",2014
"5702","Equestrianism Mixed Dressage, Individual","Equestrianism","Summer","2004 Athina",2004
"5703","Equestrianism Mixed Dressage, Team","Equestrianism","Summer","2004 Athina",2004
"5704","Athletics Women's Hammer Throw","Athletics","Summer","2008 Beijing",2008
"5705","Athletics Men's 3,000 metres Steeplechase","Athletics","Summer","1960 Roma",1960
"5706","Equestrianism Mixed Dressage, Individual","Equestrianism","Summer","1968 Mexico City",1968
"5707","Equestrianism Mixed Dressage, Team","Equestrianism","Summer","1968 Mexico City",1968
"5708","Art Competitions Mixed Architecture","Art Competitions","Summer","1924 Paris",1924
"5709","Figure Skating Men's Singles","Figure Skating","Summer","1908 London",1908
"5710","Rowing Men's Single Sculls","Rowing","Summer","1968 Mexico City",1968
"5711","Figure Skating Women's Singles","Figure Skating","Winter","1988 Calgary",1988
"5712","Art Competitions Mixed Painting","Art Competitions","Summer","1920 Antwerpen",1920
"5713","Cycling Men's Tandem Sprint, 2,000 metres","Cycling","Summer","1956 Melbourne",1956
"5714","Wrestling Men's Welterweight, Freestyle","Wrestling","Summer","1980 Moskva",1980
"5715","Swimming Men's 200 metres Breaststroke","Swimming","Summer","1956 Melbourne",1956
"5716","Athletics Men's 3,500 metres Walk","Athletics","Summer","1908 London",1908
"5717","Tennis Men's Singles","Tennis","Summer","1908 London",1908
"5718","Roque Men's Singles","Roque","Summer","1904 St. Louis",1904
"5719","Taekwondo Men's Welterweight","Taekwondo","Summer","2004 Athina",2004
"5720","Wrestling Men's Middleweight, Freestyle","Wrestling","Summer","1996 Atlanta",1996
"5721","Athletics Women's 800 metres","Athletics","Summer","1968 Mexico City",1968
"5722","Gymnastics Men's Individual All-Around","Gymnastics","Summer","1924 Paris",1924
"5723","Gymnastics Men's Team All-Around","Gymnastics","Summer","1924 Paris",1924
"5724","Gymnastics Men's Horse Vault","Gymnastics","Summer","1924 Paris",1924
"5725","Gymnastics Men's Parallel Bars","Gymnastics","Summer","1924 Paris",1924
"5726","Gymnastics Men's Horizontal Bar","Gymnastics","Summer","1924 Paris",1924
"5727","Gymnastics Men's Rings","Gymnastics","Summer","1924 Paris",1924
"5728","Gymnastics Men's Pommelled Horse","Gymnastics","Summer","1924 Paris",1924
"5729","Gymnastics Men's Rope Climbing","Gymnastics","Summer","1924 Paris",1924
"5730","Gymnastics Men's Side Horse","Gymnastics","Summer","1924 Paris",1924
"5731","Shooting Men's Running Target, Single Shot","Shooting","Summer","1920 Antwerpen",1920
"5732","Shooting Men's Running Target, Single Shot, Team","Shooting","Summer","1920 Antwerpen",1920
"5733","Shooting Men's Running Target, Double Shot","Shooting","Summer","1920 Antwerpen",1920
"5734","Badminton Women's Doubles","Badminton","Summer","2012 London",2012
"5735","Alpinism Mixed Alpinism","Alpinism","Winter","1924 Chamonix",1924
"5736","Archery Men's Double American Round","Archery","Summer","1904 St. Louis",1904
"5737","Archery Men's Double York Round","Archery","Summer","1904 St. Louis",1904
"5738","Archery Men's Team Round","Archery","Summer","1904 St. Louis",1904
"5739","Athletics Men's Decathlon","Athletics","Summer","1956 Melbourne",1956
"5740","Athletics Men's Discus Throw","Athletics","Summer","1968 Mexico City",1968
"5741","Speed Skating Men's 500 metres","Speed Skating","Winter","1964 Innsbruck",1964
"5742","Badminton Women's Doubles","Badminton","Summer","2000 Sydney",2000
"5743","Archery Men's Target Archery, 33 metres, Individual","Archery","Summer","1920 Antwerpen",1920
"5744","Archery Men's Target Archery, 50 metres, Individual","Archery","Summer","1920 Antwerpen",1920
"5745","Weightlifting Men's Light-Heavyweight","Weightlifting","Summer","1936 Berlin",1936
"5746","Canoeing Women's Kayak Singles, 500 metres","Canoeing","Summer","1992 Barcelona",1992
"5747","Athletics Women's 3,000 metres","Athletics","Summer","1992 Barcelona",1992
"5748","Figure Skating Women's Singles","Figure Skating","Winter","1924 Chamonix",1924
"5749","Athletics Men's Triple Jump","Athletics","Summer","1924 Paris",1924
"5750","Wrestling Men's Bantamweight, Greco-Roman","Wrestling","Summer","1956 Melbourne",1956
"5751","Speed Skating Women's 1,500 metres","Speed Skating","Winter","1984 Sarajevo",1984
